"","X.7","X.6","X.5","X.4","X.3","X.2","X.1","X","time","infect_unvac","infect_vac_partial","infect_vac_complete","infect_vac_booster","covid_select.Date"
"1",1,1,1,1,1,1,1,1,1,1797,452,6710,3938,"2022-01-06"
"2",2,2,2,2,2,2,2,2,2,1543,375,5854,3661,"2022-01-07"
"3",3,3,3,3,3,3,3,3,3,1714,398,6532,4333,"2022-01-08"
"4",4,4,4,4,4,4,4,4,4,1643,414,5631,3891,"2022-01-09"
"5",5,5,5,5,5,5,5,5,5,1307,263,4552,3237,"2022-01-10"
"6",6,6,6,6,6,6,6,6,6,1061,250,3590,2667,"2022-01-11"
"7",7,7,7,7,7,7,7,7,7,1347,327,4313,3360,"2022-01-12"
"8",8,8,8,8,8,8,8,8,8,1336,303,4266,3487,"2022-01-13"
"9",9,9,9,9,9,9,9,9,9,1458,365,4590,3928,"2022-01-14"
"10",10,10,10,10,10,10,10,10,10,1539,417,4343,3880,"2022-01-15"
"11",11,11,11,11,11,11,11,11,11,1456,360,4204,3875,"2022-01-16"
"12",12,12,12,12,12,12,12,12,12,1250,281,3360,3151,"2022-01-17"
"13",13,13,13,13,13,13,13,13,13,1087,245,2792,2647,"2022-01-18"
"14",14,14,14,14,14,14,14,14,14,880,186,2080,2029,"2022-01-19"
"15",15,15,15,15,15,15,15,15,15,1079,260,2905,2914,"2022-01-20"
"16",16,16,16,16,16,16,16,16,16,1061,221,2614,2693,"2022-01-21"
"17",17,17,17,17,17,17,17,17,17,885,223,2318,2447,"2022-01-22"
"18",18,18,18,18,18,18,18,18,18,835,223,2013,2162,"2022-01-23"
"19",19,19,19,19,19,19,19,19,19,814,182,1678,1818,"2022-01-24"
"20",20,20,20,20,20,20,20,20,20,561,142,1118,1229,"2022-01-25"
"21",21,21,21,21,21,21,21,21,21,801,191,1796,2009,"2022-01-26"
"22",22,22,22,22,22,22,22,22,22,960,236,1874,2130,"2022-01-27"
"23",23,23,23,23,23,23,23,23,23,833,181,1766,2040,"2022-01-28"
"24",24,24,24,24,24,24,24,24,24,765,207,1601,1879,"2022-01-29"
"25",25,25,25,25,25,25,25,25,25,623,185,1284,1523,"2022-01-30"
"26",26,26,26,26,26,26,26,26,26,529,119,969,1156,"2022-01-31"
"27",27,27,27,27,27,27,27,27,27,408,103,819,988,"2022-02-01"
"28",28,28,28,28,28,28,28,28,28,683,164,1191,1452,"2022-02-02"
"29",29,29,29,29,29,29,29,29,29,626,172,1310,1611,"2022-02-03"
"30",30,30,30,30,30,30,30,30,30,685,170,1262,1565,"2022-02-04"
"31",31,31,31,31,31,31,31,31,31,497,126,992,1241,"2022-02-05"
"32",32,32,32,32,32,32,32,32,32,468,127,918,1158,"2022-02-06"
"33",33,33,33,33,33,33,33,33,33,351,82,637,806,"2022-02-07"
"34",34,34,34,34,34,34,34,34,34,362,92,617,785,"2022-02-08"
"35",35,35,35,35,35,35,35,35,35,456,131,953,1220,"2022-02-09"
"36",36,36,36,36,36,36,36,36,36,425,131,944,1215,"2022-02-10"
"37",37,37,37,37,37,37,37,37,37,422,135,857,1110,"2022-02-11"
"38",38,38,38,38,38,38,38,38,38,474,136,860,1120,"2022-02-12"
"39",39,39,39,39,39,39,39,39,39,330,77,673,880,"2022-02-13"
"40",40,40,40,40,40,40,40,40,40,282,83,535,702,"2022-02-14"
"41",41,41,41,41,41,41,41,41,41,260,59,431,567,"2022-02-15"
"42",42,42,42,42,42,42,42,42,42,376,91,761,1006,"2022-02-16"
"43",43,43,43,43,43,43,43,43,43,326,94,711,944,"2022-02-17"
"44",44,44,44,44,44,44,44,44,44,303,81,710,946,"2022-02-18"
"45",45,45,45,45,45,45,45,45,45,303,77,705,946,"2022-02-19"
"46",46,46,46,46,46,46,46,46,46,285,78,592,799,"2022-02-20"
"47",47,47,47,47,47,47,47,47,47,199,48,415,561,"2022-02-21"
"48",48,48,48,48,48,48,48,48,48,186,28,401,544,"2022-02-22"
"49",49,49,49,49,49,49,49,49,49,215,47,427,582,"2022-02-23"
"50",50,50,50,50,50,50,50,50,50,298,80,777,1064,"2022-02-24"
"51",51,51,51,51,51,51,51,51,51,287,75,797,1095,"2022-02-25"
"52",52,52,52,52,52,52,52,52,52,261,78,765,1056,"2022-02-26"
"53",53,53,53,53,53,53,53,53,53,226,61,636,882,"2022-02-27"
"54",54,54,54,54,54,54,54,54,54,146,31,449,623,"2022-02-28"
"55",55,55,55,55,55,55,55,55,55,165,27,359,499,"2022-03-01"
"56",56,56,56,56,56,56,56,56,56,215,49,635,887,"2022-03-02"
"57",57,57,57,57,57,57,57,57,57,259,66,734,1028,"2022-03-03"
"58",58,58,58,58,58,58,58,58,58,207,54,682,956,"2022-03-04"
"59",59,59,59,59,59,59,59,59,59,183,54,622,874,"2022-03-05"
"60",60,60,60,60,60,60,60,60,60,205,47,588,828,"2022-03-06"
"61",61,61,61,61,61,61,61,61,61,146,38,343,484,"2022-03-07"
"62",62,62,62,62,62,62,62,62,62,157,32,374,527,"2022-03-08"
"63",63,63,63,63,63,63,63,63,63,207,36,654,925,"2022-03-09"
"64",64,64,64,64,64,64,64,64,64,209,47,728,1032,"2022-03-10"
"65",65,65,65,65,65,65,65,65,65,199,72,719,956,"2022-03-11"
"66",66,66,66,66,66,66,66,66,66,178,64,648,987,"2022-03-12"
"67",67,67,67,67,67,67,67,67,67,135,48,490,807,"2022-03-13"
"68",68,68,68,68,68,68,68,68,68,118,42,335,574,"2022-03-14"
"69",69,69,69,69,69,69,69,69,69,113,40,303,527,"2022-03-15"
"70",70,70,70,70,70,70,70,70,70,159,56,612,1044,"2022-03-16"
"71",71,71,71,71,71,71,71,71,71,227,80,859,1084,"2022-03-17"
"72",72,72,72,72,72,72,72,72,72,212,74,775,1210,"2022-03-18"
"73",73,73,73,73,73,73,73,73,73,199,69,527,1010,"2022-03-19"
"74",74,74,74,74,74,74,74,74,74,149,51,452,946,"2022-03-20"
"75",75,75,75,75,75,75,75,75,75,130,45,295,632,"2022-03-21"
"76",76,76,76,76,76,76,76,76,76,157,54,394,730,"2022-03-22"
"77",77,77,77,77,77,77,77,77,77,174,60,561,1137,"2022-03-23"
"78",78,78,78,78,78,78,78,78,78,203,70,656,1408,"2022-03-24"
"79",79,79,79,79,79,79,79,79,79,217,74,734,1537,"2022-03-25"
"80",80,80,80,80,80,80,80,80,80,216,73,732,1516,"2022-03-26"
"81",81,81,81,81,81,81,81,81,81,187,64,560,1206,"2022-03-27"
"82",82,82,82,82,82,82,82,82,82,176,60,442,970,"2022-03-28"
"83",83,83,83,83,83,83,83,83,83,173,59,431,842,"2022-03-29"
"84",84,84,84,84,84,84,84,84,84,233,79,773,1530,"2022-03-30"
"85",85,85,85,85,85,85,85,85,85,274,93,840,1722,"2022-03-31"
"86",86,86,86,86,86,86,86,86,86,289,98,983,1962,"2022-04-01"
"87",87,87,87,87,87,87,87,87,87,330,111,864,1776,"2022-04-02"
"88",88,88,88,88,88,88,88,88,88,283,95,745,1810,"2022-04-03"
"89",89,89,89,89,89,89,89,89,89,231,78,525,1226,"2022-04-04"
"90",90,90,90,90,90,90,90,90,90,193,65,541,1115,"2022-04-05"
"91",91,91,91,91,91,91,91,91,91,307,103,930,1915,"2022-04-06"
"92",92,92,92,92,92,92,92,92,92,361,121,1074,2418,"2022-04-07"
"93",93,93,93,93,93,93,93,93,93,385,128,1098,2444,"2022-04-08"
"94",94,94,94,94,94,94,94,94,94,317,106,937,2286,"2022-04-09"
"95",95,95,95,95,95,95,95,95,95,338,112,801,2051,"2022-04-10"
"96",96,96,96,96,96,96,96,96,96,220,73,489,1477,"2022-04-11"
"97",97,97,97,97,97,97,97,97,97,245,81,525,1321,"2022-04-12"
"98",98,98,98,98,98,98,98,98,98,311,104,977,2274,"2022-04-13"
"99",99,99,99,99,99,99,99,99,99,411,136,1088,2764,"2022-04-14"
"100",100,100,100,100,100,100,100,100,100,324,108,983,2642,"2022-04-15"
"101",101,101,101,101,101,101,101,101,101,342,113,912,2668,"2022-04-16"
"102",102,102,102,102,102,102,102,102,102,237,79,454,1560,"2022-04-17"
"103",103,103,103,103,103,103,103,103,103,205,68,452,1399,"2022-04-18"
"104",104,104,104,104,104,104,104,104,104,123,41,239,699,"2022-04-19"
"105",105,105,105,105,105,105,105,105,105,78,26,247,599,"2022-04-20"
"106",106,106,106,106,106,106,106,106,106,461,153,1037,3175,"2022-04-21"
"107",107,107,107,107,107,107,107,107,107,367,122,1022,2939,"2022-04-22"
"108",108,108,108,108,108,108,108,108,108,348,115,716,2420,"2022-04-23"
"109",109,109,109,109,109,109,109,109,109,373,123,815,2612,"2022-04-24"
"110",110,110,110,110,110,110,110,110,110,192,64,419,1259,"2022-04-25"
"111",111,111,111,111,111,111,111,111,111,207,68,307,1125,"2022-04-26"
"112",112,112,112,112,112,112,112,112,112,237,79,580,1943,"2022-04-27"
"113",113,113,113,113,113,113,113,113,113,277,91,675,2319,"2022-04-28"
"114",114,114,114,114,114,114,114,114,114,201,67,544,1775,"2022-04-29"
"115",115,115,115,115,115,115,115,115,115,233,77,548,1763,"2022-04-30"
"116",116,116,116,116,116,116,116,116,116,202,67,431,1441,"2022-05-01"
"117",117,117,117,117,117,117,117,117,117,120,40,226,826,"2022-05-02"
"118",118,118,118,118,118,118,118,118,118,150,49,251,952,"2022-05-03"
"119",119,119,119,119,119,119,119,119,119,208,69,429,1626,"2022-05-04"
"120",120,120,120,120,120,120,120,120,120,213,70,451,1767,"2022-05-05"
"121",121,121,121,121,121,121,121,121,121,188,62,440,1562,"2022-05-06"
"122",122,122,122,122,122,122,122,122,122,172,57,395,1377,"2022-05-07"
"123",123,123,123,123,123,123,123,123,123,165,55,339,1285,"2022-05-08"
"124",124,124,124,124,124,124,124,124,124,125,42,219,777,"2022-05-09"
"125",125,125,125,125,125,125,125,125,125,121,40,210,623,"2022-05-10"
"126",126,126,126,126,126,126,126,126,126,166,55,355,1289,"2022-05-11"
"127",127,127,127,127,127,127,127,127,127,171,57,403,1396,"2022-05-12"
"128",128,128,128,128,128,128,128,128,128,159,53,370,1264,"2022-05-13"
"129",129,129,129,129,129,129,129,129,129,124,41,271,1061,"2022-05-14"
"130",130,130,130,130,130,130,130,130,130,129,43,288,1044,"2022-05-15"
"131",131,131,131,131,131,131,131,131,131,100,33,182,711,"2022-05-16"
"132",132,132,132,132,132,132,132,132,132,101,34,185,637,"2022-05-17"
"133",133,133,133,133,133,133,133,133,133,151,50,270,1087,"2022-05-18"
"134",134,134,134,134,134,134,134,134,134,129,43,278,1050,"2022-05-19"
"135",135,135,135,135,135,135,135,135,135,99,33,276,931,"2022-05-20"
"136",136,136,136,136,136,136,136,136,136,106,35,228,797,"2022-05-21"
"137",137,137,137,137,137,137,137,137,137,101,34,196,675,"2022-05-22"
"138",138,138,138,138,138,138,138,138,138,66,22,109,444,"2022-05-23"
"139",139,139,139,139,139,139,139,139,139,58,19,108,400,"2022-05-24"
"140",140,140,140,140,140,140,140,140,140,68,22,136,457,"2022-05-25"
"141",141,141,141,141,141,141,141,141,141,89,29,200,830,"2022-05-26"
"142",142,142,142,142,142,142,142,142,142,90,30,167,732,"2022-05-27"
"143",143,143,143,143,143,143,143,143,143,77,26,192,657,"2022-05-28"
"144",144,144,144,144,144,144,144,144,144,71,24,159,582,"2022-05-29"
"145",145,145,145,145,145,145,145,145,145,47,15,93,351,"2022-05-30"
"146",146,146,146,146,146,146,146,146,146,62,20,110,347,"2022-05-31"
"147",147,147,147,147,147,147,147,147,147,100,33,193,619,"2022-06-01"
"148",148,148,148,148,148,148,148,148,148,85,28,167,673,"2022-06-02"
"149",149,149,149,149,149,149,149,149,149,76,25,149,566,"2022-06-03"
"150",150,150,150,150,150,150,150,150,150,73,24,163,505,"2022-06-04"
"151",NA,NA,NA,NA,NA,NA,NA,NA,151,45,15,127,443,"2022-06-05"
