"","vaccine_non","vaccine_partial","vaccine_complete","vaccine_bootser","vaccine_v1_increase","vaccine_v2_increase","vaccine_v3_increase"
"1",1802257,804540,7212511,4232672,10652,9039,174276
"2",1791605,806153,7047274,4406948,11129,8168,164668
"3",1780476,809114,6890774,4571616,11003,7466,115129
"4",1769473,812651,6783111,4686745,6176,4855,82633
"5",1763297,813972,6705333,4769378,8266,8200,125053
"6",1755031,814038,6588480,4894431,10661,10176,138827
"7",1744370,814523,6459829,5033258,11839,11195,140840
"8",1732531,815167,6330184,5174098,13720,12766,136327
"9",1718811,816121,6206623,5310425,13049,13416,130559
"10",1705762,815754,6089480,5440984,11471,10847,95012
"11",1694291,816378,6005315,5535996,6900,7060,53140
"12",1687391,816218,5959235,5589136,3465,3636,32176
"13",1683926,816047,5930695,5621312,7993,8864,85992
"14",1675933,815176,5853567,5707304,9177,9205,86274
"15",1666756,815148,5776498,5793578,8914,10567,82939
"16",1657842,813495,5704126,5876517,11339,14409,78828
"17",1646503,810425,5639707,5955345,8707,14827,55381
"18",1637796,804305,5599153,6010726,4357,8631,30910
"19",1633439,800031,5576874,6041636,6152,10847,49222
"20",1627287,795336,5538499,6090858,7045,15443,56428
"21",1620242,786938,5497514,6147286,7374,15622,56177
"22",1612868,778690,5456959,6203463,6988,16099,54656
"23",1605880,769579,5418402,6258119,8054,20024,58812
"24",1597826,757609,5379614,6316931,6246,21511,40485
"25",1591580,742344,5360640,6357416,3073,10522,22760
"26",1588507,734895,5348402,6380176,5382,12073,37523
"27",1583125,728204,5322952,6417699,6352,15508,40015
"28",1576773,719048,5298445,6457714,6236,14749,35809
"29",1570537,710535,5277385,6493523,5342,13635,28883
"30",1565195,702242,5262137,6522406,6250,17515,38626
"31",1558945,690977,5241026,6561032,4693,16878,29470
"32",1554252,678792,5228434,6590502,2267,8180,13587
"33",1551985,672879,5223027,6604089,4275,9760,23216
"34",1547710,667394,5209571,6627305,4559,10980,22982
"35",1543151,660973,5197569,6650287,5482,12292,25882
"36",1537669,654163,5183979,6676169,5273,13464,24204
"37",1532396,645972,5173239,6700373,5242,14027,26242
"38",1527154,637187,5161024,6726615,3493,13537,19941
"39",1523661,627143,5154620,6746556,1687,6554,14361
"40",1521974,622276,5146813,6760917,3369,7249,12954
"41",1518605,618396,5141108,6773871,3603,10084,15957
"42",1515002,611915,5135235,6789828,3921,10326,16163
"43",1511081,605510,5129398,6805991,3472,9403,15058
"44",1507609,599579,5123743,6821049,3550,10422,26822
"45",1504059,592707,5107343,6847871,1970,8351,22911
"46",1502089,586326,5092783,6870782,1177,3868,12652
"47",1500912,583635,5083999,6883434,704,1790,7021
"48",1500208,582549,5078768,6890455,2913,6944,18313
"49",1497295,578518,5067399,6908768,3027,7458,16797
"50",1494268,574087,5058060,6925565,2821,7025,15366
"51",1491447,569883,5049719,6940931,2681,7372,17271
"52",1488766,565192,5039820,6958202,1758,7658,17712
"53",1487008,559292,5029766,6975914,900,2787,6822
"54",1486108,557405,5025731,6982736,2002,4481,8726
"55",1484106,554926,5021486,6991462,2324,5009,10312
"56",1481782,552241,5016183,7001774,2140,4535,9381
"57",1479642,549846,5011337,7011155,1867,4687,8853
"58",1477775,547026,5007171,7020008,1904,5528,11093
"59",1475871,543402,5001606,7031101,1348,5904,9950
"60",1474523,538846,4997560,7041051,619,1970,3523
"61",1473904,537495,4996007,7044574,1305,2956,4673
"62",1472599,535844,4994290,7049247,1640,3782,7042
"63",1470959,533702,4991030,7056289,1690,4072,7222
"64",1469269,531320,4987880,7063511,1550,4300,7314
"65",1467719,528570,4984866,7070825,1600,4850,8532
"66",1466119,525320,4981184,7079357,1251,5087,8378
"67",1464868,521484,4977893,7087735,549,2328,3524
"68",1464319,519705,4976697,7091259,1196,3217,6316
"69",1463123,517684,4973598,7097575,1463,4339,7326
"70",1461660,514808,4970611,7104901,1415,4428,7036
"71",1460245,511795,4968003,7111937,1300,3621,6560
"72",1458945,509474,4965064,7118497,1334,4493,7990
"73",1457611,506315,4961567,7126487,1109,4005,6339
"74",1456502,503419,4959233,7132826,482,1685,2820
"75",1456020,502216,4958098,7135646,1097,2142,4284
"76",1454923,501171,4955956,7139930,1125,2682,5373
"77",1453798,499614,4953265,7145303,1049,2782,4701
"78",1452749,497881,4951346,7150004,1047,2462,4911
"79",1451702,496466,4948897,7154915,1184,3059,5597
"80",1450518,494591,4946359,7160512,1032,3586,5262
"81",1449486,492037,4944683,7165774,453,1243,2030
"82",1449033,491247,4943896,7167804,714,1540,2890
"83",1448319,490421,4942546,7170694,1045,2131,4019
"84",1447274,489335,4940658,7174713,1027,2311,4664
"85",1446247,488051,4938305,7179377,1048,2173,4948
"86",1445199,486926,4935530,7184325,1151,2438,5652
"87",1444048,485639,4932316,7189977,935,2581,4973
"88",1443113,483993,4929924,7194950,455,996,2363
"89",1442658,483452,4928557,7197313,745,1244,3150
"90",1441913,482953,4926651,7200463,902,1656,4452
"91",1441011,482199,4923855,7204915,1033,1953,4959
"92",1439978,481279,4920849,7209874,1028,1829,4895
"93",1438950,480478,4917783,7214769,1195,2201,6031
"94",1437755,479472,4913953,7220800,1074,2372,5311
"95",1436681,478174,4911014,7226111,410,871,2451
"96",1436271,477713,4909434,7228562,938,1301,3863
"97",1435333,477350,4906872,7232425,1174,1854,5211
"98",1434159,476670,4903515,7237636,1195,1913,5181
"99",1432964,475952,4900247,7242817,1489,2359,6876
"100",1431475,475082,4895730,7249693,372,595,1758
"101",1431103,474859,4894567,7251451,944,1909,4169
"102",1430159,473894,4892307,7255620,365,472,1290
"103",1429794,473787,4891489,7256910,705,813,3161
"104",1429089,473679,4889141,7260071,1240,1627,4908
"105",1427849,473292,4885860,7264979,1249,1875,5007
"106",1426600,472666,4882728,7269986,1291,1730,4501
"107",1425309,472227,4879957,7274487,1365,2098,5005
"108",1423944,471494,4877050,7279492,1088,1879,3761
"109",1422856,470703,4875168,7283253,542,728,1735
"110",1422314,470517,4874161,7284988,1059,1314,3548
"111",1421255,470262,4871927,7288536,1216,1625,4202
"112",1420039,469853,4869350,7292738,1280,1714,4224
"113",1418759,469419,4866840,7296962,1390,1604,4246
"114",1417369,469205,4864198,7301208,1133,1758,4266
"115",1416236,468580,4861690,7305474,829,1543,2966
"116",1415407,467866,4860267,7308440,354,526,1097
"117",1415053,467694,4859696,7309537,910,1137,2693
"118",1414143,467467,4858140,7312230,1059,1630,3749
"119",1413084,466896,4856021,7315979,1169,1418,3378
"120",1411915,466647,4854061,7319357,1464,1616,3208
"121",1410451,466495,4852469,7322565,1133,1457,3353
"122",1409318,466171,4850573,7325918,912,1303,2326
"123",1408406,465780,4849550,7328244,371,457,883
"124",1408035,465694,4849124,7329127,931,1005,2392
"125",1407104,465620,4847737,7331519,1208,1503,2984
"126",1405896,465325,4846256,7334503,1120,1380,2771
"127",1404776,465065,4844865,7337274,1159,1409,2689
"128",1403617,464815,4843585,7339963,1081,1389,2762
"129",1402536,464507,4842212,7342725,794,1251,2051
"130",1401742,464050,4841412,7344776,409,569,1037
"131",1401333,463890,4840944,7345813,747,997,1944
"132",1400586,463640,4839997,7347757,1168,1357,2466
"133",1399418,463451,4838888,7350223,938,1428,2366
"134",1398480,462961,4837950,7352589,1084,1434,2449
"135",1397396,462611,4836935,7355038,936,1359,2590
"136",1396460,462188,4835704,7357628,594,907,1474
"137",1395866,461875,4835137,7359102,287,470,769
"138",1395579,461692,4834838,7359871,128,165,472
"139",1395451,461655,4834531,7360343,906,1184,2109
"140",1394545,461377,4833606,7362452,825,1106,2057
"141",1393720,461096,4832655,7364509,1052,1314,2277
"142",1392668,460834,4831692,7366786,955,1343,2292
"143",1391713,460446,4830743,7369078,803,1249,1737
"144",1390910,460000,4830255,7370815,343,621,763
"145",1390567,459722,4830113,7371578,887,1101,1796
"146",1389680,459508,4829418,7373374,899,1161,2041
"147",1388781,459246,4828538,7375415,823,1127,1803
"148",1387958,458942,4827862,7377218,941,1297,2031
"149",1387017,458586,4827128,7379249,892,1351,2001
"150",1386125,458127,4826478,7381250,627,1111,1381
"151",1385498,457643,4826208,7382631,265,460,623
